Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,33pF,C_0603_1608Metric,155.1895,-63.699,180,top
C2,22nF,C_0603_1608Metric,159.477,-68.449,90,top
C3,100uF,CP_Elec_6.3x7.7,159.2,-88,270,top
C4,4.7uF,C_0805_2012Metric,153.477,-75.699,270,top
C5,1nF,C_0603_1608Metric,125.1,-80.9625,270,top
C6,10uF,C_0805_2012Metric,148.7375,-93,0,top
C7,100nF,C_0603_1608Metric,111.2,-105.6125,90,top
C8,1uF,C_0603_1608Metric,142.6,-82,270,top
C9,22uF,C_0805_2012Metric,161.977,-76.699,180,top
C10,1nF,C_0603_1608Metric,124.8,-77,270,top
C11,100nF,C_0603_1608Metric,128.6,-102.9875,270,top
C12,20pF,C_0603_1608Metric,143.2,-92.6,0,top
C13,100nF,C_0603_1608Metric,136.2005,-102.1595,90,top
C15,20pF,C_0603_1608Metric,143,-84.6,0,top
C16,100nF,C_0603_1608Metric,127,-96.8,270,top
C17,100nF,C_0603_1608Metric,137.4,-82.2,0,top
C18,100nF,C_0603_1608Metric,127.8,-83.2,90,top
C19,100nF,C_0603_1608Metric,136.6,-98.6,180,top
C20,20pF,C_0603_1608Metric,132.852,-133.9,90,top
C21,1uF,C_0603_1608Metric,122.93,-66.882,180,top
C22,1uF,C_0603_1608Metric,123.0455,-71.0645,180,top
C23,100uF,CP_Elec_6.3x7.7,160.6,-106.4,90,top
D1,D_Schottky,D_SMA,157.977,-77.449,270,top
D2,1N4148,D_SOD-123,117.8,-60.4,180,top
D3,LED,LED_0805_2012Metric,160.35,-127.45,270,top
D4,LED,LED_0805_2012Metric,160.4,-131.4,90,top
L1,3.3uH,L_1210_3225Metric,160.977,-71.949,0,top
L2,10uH,L_0805_2012Metric,130.4,-102.9375,270,top
L3,10uH,L_0805_2012Metric,126.6,-102.9375,90,top
Q1,S8050,SOT-23,152.6,-82.2,90,top
Q2,S8050,SOT-23,118.4,-67.4,180,top
Q3,S8050,SOT-23,118.4,-72.4,180,top
Q4,AO3400A,SOT-23,116.6,-96.4,180,top
Q5,AO3400A,SOT-23,160.4,-115.2,180,top
R1,10KΩ,R_0603_1608Metric,145.8,-82.0125,270,top
R2,15KΩ,R_0603_1608Metric,118.6,-76.6,0,top
R3,15KΩ,R_0603_1608Metric,118.6,-79.75,0,top
R4,15KΩ,R_0603_1608Metric,141,-82,90,top
R5,4.7KΩ,R_0603_1608Metric,122.35,-80.9625,90,top
R6,4.7KΩ,R_0603_1608Metric,122.35,-77,90,top
R7,10KΩ,R_0603_1608Metric,138,-102.2,270,top
R8,470Ω,R_0603_1608Metric,160.35,-123.7,270,top
R9,470Ω,R_0603_1608Metric,160.4,-135.6,90,top
R10,9.53KΩ,R_0603_1608Metric,152.177,-66.299,270,top
R11,49.9KΩ,R_0603_1608Metric,155.1895,-65.449,180,top
R12,100KΩ,R_0603_1608Metric,152.477,-72.199,270,top
R13,10KΩ,R_0603_1608Metric,149.8,-82.1875,270,top
R14,100KΩ,R_0603_1608Metric,131.05,-133.9,270,top
R15,270Ω,R_0603_1608Metric,130.55,-118.65,0,top
R16,10KΩ,R_0603_1608Metric,122.9675,-69.132,180,top
R17,10KΩ,R_0603_1608Metric,122.982,-73.033,180,top
R18,100KΩ,R_0603_1608Metric,116.8,-121.4,270,top
R19,10KΩ,R_0603_1608Metric,116.8,-101,180,top
R20,10KΩ,R_0603_1608Metric,160.2,-119.3,180,top
R21,10KΩ,R_0603_1608Metric,122,-101.4,180,top
R22,10KΩ,R_0603_1608Metric,120.6,-92,180,top
U1,MP2359,TSOT-23-6,155.727,-69.949,270,top
U2,LD1117S33TR_SOT223,SOT-223-3_TabPin2,150.65,-88.1,180,top
U3,STM32F105RBTx,LQFP-64_10x10mm_P0.5mm,133.2565,-90.346,180,top
U4,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,122.4,-97.4,180,top
U5,4N35S,SMDIP-6_W7.62mm,123.36,-118.69,180,top
U6,4N35S,SMDIP-6_W7.62mm,123.3,-133.15,0,top
U7,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,120.6,-88,180,top
Y2,8M0,Crystal_SMD_5032-2Pin_5.0x3.2mm,143.2,-88.6,90,top
